smoke_i,dis_i,dep_i,temp_i,hum_i,light_i
49.9972,51.39469,50.91043,49.05898,50.20695,51.36983
47.96213,42.15029,50.89708,49.05898,50.23941,51.36983
50.63409,46.39722,50.89092,49.05208,50.214,51.33625
47.50649,47.58991,50.89508,49.03744,50.214,51.32442
48.20906,47.83096,50.89895,49.02532,50.19438,51.27798
49.01591,47.93899,50.89895,49.02774,50.19438,51.2888
48.67626,47.266,50.89092,49.02268,50.20695,51.27798
50.51374,52.31482,49.89398,50.36668,48.47261,50.02942
49.46473,48.23094,49.89974,50.36702,48.41003,50.026
48.78261,48.47305,49.90201,50.36668,48.47261,50.026
49.50833,47.08787,49.89398,50.36668,48.4904,50.03515
50.61904,43.72668,49.90201,50.36379,48.48459,50.02942
49.32639,46.84836,49.89674,50.36118,48.48459,50.02516
49.30417,48.31164,49.8914,50.35996,48.48551,50.02942
50.60939,43.13558,49.89674,50.35996,48.48551,50.02942
47.73508,46.02507,49.71098,30.02909,49.63856,48.92407
50.24019,45.78221,49.71787,30.02909,49.63434,48.94919
51.66892,46.76277,49.71098,30.02909,49.63511,48.95027
